:Data_list: Gp_xr_1m.txt
:Created: 2014 Apr 18 1309 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2014 04 18  1131   56765  41460     9.71e-09    1.01e-06
2014 04 18  1132   56765  41520     1.07e-08    1.02e-06
2014 04 18  1133   56765  41580     1.20e-08    1.04e-06
2014 04 18  1134   56765  41640     1.31e-08    1.05e-06
2014 04 18  1135   56765  41700     1.62e-08    1.07e-06
2014 04 18  1136   56765  41760     1.86e-08    1.08e-06
2014 04 18  1137   56765  41820     1.97e-08    1.08e-06
2014 04 18  1138   56765  41880     1.74e-08    1.09e-06
2014 04 18  1139   56765  41940     1.62e-08    1.09e-06
2014 04 18  1140   56765  42000     1.61e-08    1.10e-06
2014 04 18  1141   56765  42060     1.59e-08    1.11e-06
2014 04 18  1142   56765  42120     1.55e-08    1.12e-06
2014 04 18  1143   56765  42180     1.68e-08    1.13e-06
2014 04 18  1144   56765  42240     1.89e-08    1.16e-06
2014 04 18  1145   56765  42300     2.45e-08    1.20e-06
2014 04 18  1146   56765  42360     3.23e-08    1.27e-06
2014 04 18  1147   56765  42420     4.09e-08    1.34e-06
2014 04 18  1148   56765  42480     5.18e-08    1.42e-06
2014 04 18  1149   56765  42540     7.07e-08    1.53e-06
2014 04 18  1150   56765  42600     8.60e-08    1.64e-06
2014 04 18  1151   56765  42660     8.71e-08    1.68e-06
2014 04 18  1152   56765  42720     8.31e-08    1.69e-06
2014 04 18  1153   56765  42780     8.18e-08    1.69e-06
2014 04 18  1154   56765  42840     7.79e-08    1.69e-06
2014 04 18  1155   56765  42900     7.41e-08    1.69e-06
2014 04 18  1156   56765  42960     7.05e-08    1.69e-06
2014 04 18  1157   56765  43020     6.69e-08    1.68e-06
2014 04 18  1158   56765  43080     6.53e-08    1.68e-06
2014 04 18  1159   56765  43140     6.16e-08    1.67e-06
2014 04 18  1200   56765  43200     5.80e-08    1.67e-06
2014 04 18  1201   56765  43260     5.46e-08    1.65e-06
2014 04 18  1202   56765  43320     5.32e-08    1.65e-06
2014 04 18  1203   56765  43380     5.34e-08    1.64e-06
2014 04 18  1204   56765  43440     4.94e-08    1.62e-06
2014 04 18  1205   56765  43500     4.63e-08    1.60e-06
2014 04 18  1206   56765  43560     4.34e-08    1.58e-06
2014 04 18  1207   56765  43620     4.04e-08    1.56e-06
2014 04 18  1208   56765  43680     3.98e-08    1.54e-06
2014 04 18  1209   56765  43740     3.43e-08    1.52e-06
2014 04 18  1210   56765  43800     3.11e-08    1.50e-06
2014 04 18  1211   56765  43860     3.07e-08    1.48e-06
2014 04 18  1212   56765  43920     2.73e-08    1.46e-06
2014 04 18  1213   56765  43980     2.67e-08    1.44e-06
2014 04 18  1214   56765  44040     2.40e-08    1.43e-06
2014 04 18  1215   56765  44100     2.24e-08    1.40e-06
2014 04 18  1216   56765  44160     2.17e-08    1.37e-06
2014 04 18  1217   56765  44220     2.03e-08    1.35e-06
2014 04 18  1218   56765  44280     2.15e-08    1.34e-06
2014 04 18  1219   56765  44340     1.79e-08    1.32e-06
2014 04 18  1220   56765  44400     1.66e-08    1.30e-06
2014 04 18  1221   56765  44460     1.59e-08    1.29e-06
2014 04 18  1222   56765  44520     1.71e-08    1.28e-06
2014 04 18  1223   56765  44580     1.61e-08    1.27e-06
2014 04 18  1224   56765  44640     1.52e-08    1.27e-06
2014 04 18  1225   56765  44700     1.61e-08    1.27e-06
2014 04 18  1226   56765  44760     1.64e-08    1.28e-06
2014 04 18  1227   56765  44820     1.69e-08    1.28e-06
2014 04 18  1228   56765  44880     1.82e-08    1.29e-06
2014 04 18  1229   56765  44940     1.80e-08    1.29e-06
2014 04 18  1230   56765  45000     1.83e-08    1.29e-06
2014 04 18  1231   56765  45060     1.91e-08    1.30e-06
2014 04 18  1232   56765  45120     2.04e-08    1.34e-06
2014 04 18  1233   56765  45180     2.46e-08    1.38e-06
2014 04 18  1234   56765  45240     1.12e-07    1.90e-06
2014 04 18  1235   56765  45300     1.29e-07    2.36e-06
2014 04 18  1236   56765  45360     7.77e-08    1.94e-06
2014 04 18  1237   56765  45420     9.18e-08    1.92e-06
2014 04 18  1238   56765  45480     1.29e-07    2.12e-06
2014 04 18  1239   56765  45540     1.74e-07    2.42e-06
2014 04 18  1240   56765  45600     2.26e-07    2.79e-06
2014 04 18  1241   56765  45660     2.92e-07    3.25e-06
2014 04 18  1242   56765  45720     3.75e-07    3.81e-06
2014 04 18  1243   56765  45780     4.99e-07    4.58e-06
2014 04 18  1244   56765  45840     6.75e-07    5.60e-06
2014 04 18  1245   56765  45900     9.33e-07    6.83e-06
2014 04 18  1246   56765  45960     1.36e-06    8.61e-06
2014 04 18  1247   56765  46020     1.85e-06    1.07e-05
2014 04 18  1248   56765  46080     2.47e-06    1.32e-05
2014 04 18  1249   56765  46140     3.33e-06    1.66e-05
2014 04 18  1250   56765  46200     4.56e-06    2.10e-05
2014 04 18  1251   56765  46260     6.07e-06    2.63e-05
2014 04 18  1252   56765  46320     7.66e-06    3.23e-05
2014 04 18  1253   56765  46380     9.45e-06    3.91e-05
2014 04 18  1254   56765  46440     1.12e-05    4.61e-05
2014 04 18  1255   56765  46500     1.27e-05    5.26e-05
2014 04 18  1256   56765  46560     1.38e-05    5.80e-05
2014 04 18  1257   56765  46620     1.44e-05    6.26e-05
2014 04 18  1258   56765  46680     1.45e-05    6.59e-05
2014 04 18  1259   56765  46740     1.44e-05    6.84e-05
2014 04 18  1300   56765  46800     1.43e-05    7.05e-05
2014 04 18  1301   56765  46860     1.41e-05    7.18e-05
2014 04 18  1302   56765  46920     1.37e-05    7.25e-05
2014 04 18  1303   56765  46980     1.34e-05    7.31e-05
2014 04 18  1304   56765  47040     1.30e-05    7.29e-05
2014 04 18  1305   56765  47100     1.24e-05    7.19e-05
2014 04 18  1306   56765  47160     1.20e-05    7.08e-05
2014 04 18  1307   56765  47220     1.14e-05    6.88e-05
2014 04 18  1308   56765  47280     1.08e-05    6.66e-05
