:Data_list: ace_swepam_1m.txt
:Created: 2014 Nov 22 1455 UT
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Units: Proton density p/cc
# Units: Bulk speed km/s
# Units: Ion tempeture degrees K
# Status(S): 0 = nominal data, 1 to 8 = bad data record, 9 = no data
# Missing data values: Density and Speed = -9999.9, Temp. = -1.00e+05
# Source: ACE Satellite - Solar Wind Electron Proton Alpha Monitor
#
#   1-minute averaged Real-time Bulk Parameters of the Solar Wind Plasma
# 
#                Modified Seconds   -------------  Solar Wind  -----------
# UT Date   Time  Julian  of the          Proton      Bulk         Ion
# YR MO DA  HHMM    Day     Day     S    Density     Speed     Temperature
#-------------------------------------------------------------------------
2014 11 22  1400   56983   50400    0        4.3      363.8     7.53e+04
2014 11 22  1401   56983   50460    0        4.6      365.4     8.65e+04
2014 11 22  1402   56983   50520    0        3.9      362.5     7.58e+04
2014 11 22  1403   56983   50580    0        3.8      368.8     7.87e+04
2014 11 22  1404   56983   50640    0        3.5      380.4     7.15e+04
2014 11 22  1405   56983   50700    0        3.8      383.7     6.25e+04
2014 11 22  1406   56983   50760    0        4.8      378.2     6.45e+04
2014 11 22  1407   56983   50820    0        5.4      375.8     7.43e+04
2014 11 22  1408   56983   50880    1        4.8      372.0     9.22e+04
2014 11 22  1409   56983   50940    0        5.1      372.5     7.07e+04
2014 11 22  1410   56983   51000    0        4.2      371.6     8.59e+04
2014 11 22  1411   56983   51060    0        4.4      372.8     6.67e+04
2014 11 22  1412   56983   51120    0        4.3      377.5     7.22e+04
2014 11 22  1413   56983   51180    0        5.0      380.3     5.89e+04
2014 11 22  1414   56983   51240    0        3.7      383.5     6.31e+04
2014 11 22  1415   56983   51300    0        5.1      384.5     7.19e+04
2014 11 22  1416   56983   51360    0        4.3      374.8     5.66e+04
2014 11 22  1417   56983   51420    0        5.7      382.0     5.72e+04
2014 11 22  1418   56983   51480    0        6.3      386.2     6.37e+04
2014 11 22  1419   56983   51540    0        5.0      380.3     5.68e+04
2014 11 22  1420   56983   51600    0        5.0      382.7     5.40e+04
2014 11 22  1421   56983   51660    0        4.4      396.0     5.47e+04
2014 11 22  1422   56983   51720    0        3.7      399.1     5.18e+04
2014 11 22  1423   56983   51780    0        5.9      380.3     7.02e+04
2014 11 22  1424   56983   51840    1        4.2      355.8     9.25e+04
2014 11 22  1425   56983   51900    0        3.7      350.6     5.69e+04
2014 11 22  1426   56983   51960    0        3.4      347.7     5.85e+04
2014 11 22  1427   56983   52020    1        4.1      344.2     3.42e+04
2014 11 22  1428   56983   52080    0        4.1      343.8     3.56e+04
2014 11 22  1429   56983   52140    0        4.1      349.7     6.90e+04
2014 11 22  1430   56983   52200    0        4.1      353.3     9.06e+04
2014 11 22  1431   56983   52260    0        3.6      343.6     4.23e+04
2014 11 22  1432   56983   52320    0        4.0      346.5     5.86e+04
2014 11 22  1433   56983   52380    0        4.1      347.3     4.61e+04
2014 11 22  1434   56983   52440    0        4.0      346.9     3.60e+04
2014 11 22  1435   56983   52500    0        3.8      350.0     7.66e+04
2014 11 22  1436   56983   52560    0        3.9      350.6     7.50e+04
2014 11 22  1437   56983   52620    0        3.9      348.3     6.18e+04
2014 11 22  1438   56983   52680    0        3.9      346.0     5.57e+04
2014 11 22  1439   56983   52740    0        3.8      347.3     6.11e+04
2014 11 22  1440   56983   52800    0        3.2      345.8     4.46e+04
2014 11 22  1441   56983   52860    0        3.9      355.7     1.04e+05
2014 11 22  1442   56983   52920    0        4.1      356.1     8.65e+04
2014 11 22  1443   56983   52980    0        5.3      354.7     6.71e+04
2014 11 22  1444   56983   53040    1        3.4      347.1     2.75e+04
2014 11 22  1445   56983   53100    0        4.0      353.4     5.22e+04
2014 11 22  1446   56983   53160    1        3.5      347.1     3.00e+04
2014 11 22  1447   56983   53220    0        4.2      362.9     5.84e+04
2014 11 22  1448   56983   53280    0        4.1      359.1     7.93e+04
2014 11 22  1449   56983   53340    0        4.8      357.7     6.81e+04
2014 11 22  1450   56983   53400    0        4.7      362.3     5.59e+04
2014 11 22  1451   56983   53460    0        4.9      360.9     5.09e+04
2014 11 22  1452   56983   53520    0        4.7      358.8     8.08e+04
2014 11 22  1453   56983   53580    0        4.1      357.6     8.98e+04
